file,line,markup,coverage
admin/backend/academic_year.php,265,"<button onclick=""ayReturnToCurrent()"" style=""background:#1a1200;color:#fde68a;border:0;border-radius:8px;' . 'padding:.45rem .9rem;font-weight:800;cursor:pointer;font-family:inherit;white-space:nowrap"">",source-indexed; NOT individually click-certified
admin/backend/academic_year.php,331,"<select onchange=""if(this.value!=0){ayCtx.go(this.value);}"" ' . 'style=""width:100%;background:#1e293b;color:#e2e8f0;border:1px solid #334155;border-radius:8px;padding:.5rem;font-family:inherit;font-size:.82rem;cursor:pointer"">",source-indexed; NOT individually click-certified
admin/backend/academic_year.php,341,"<button type=""button"" onclick=""ayCtx.go(0)"" style=""margin-top:.55rem;background:#1a1200;color:#fde68a;border:0;border-radius:8px;padding:.4rem .8rem;font-weight:800;cursor:pointer;font-family:inherit"">",source-indexed; NOT individually click-certified
admin/backend/academic_year.php,353,"<button type=""button"" onclick=""ayCloseYearModal()"" style=""background:none;border:0;color:#94a3b8;font-size:1.4rem;cursor:pointer;line-height:1"">",source-indexed; NOT individually click-certified
admin/backend/academic_year.php,401,"<button type=""button"" onclick=""ayCtx.go(0)"" style=""background:#1a1200;color:#fde68a;border:0;border-radius:8px;' . 'padding:.4rem .85rem;font-weight:800;cursor:pointer;font-family:inherit;white-space:nowrap"">",source-indexed; NOT individually click-certified
admin/backend/services/MemberReportRenderer.php,174,"<button type=""button"" onclick=""window.print()"" class=""btn green"">",source-indexed; NOT individually click-certified
admin/backend/services/MemberReportRenderer.php,175,"<a href=""' . self::h($csvUrl) . '"" class=""btn blue"">",source-indexed; NOT individually click-certified
admin/backend/services/MemberReportRenderer.php,176,"<a href=""/admin/reports.php"" class=""btn gray"">",source-indexed; NOT individually click-certified
admin/components/notification_bell.php,41,"<button class=""notif-bell-btn"" onclick=""toggleNotifDropdown()"" title=""Notifications"">",source-indexed; NOT individually click-certified
admin/components/notification_bell.php,51,"<button onclick=""markAllRead()"" class=""notif-mark-all"">",source-indexed; NOT individually click-certified
admin/components/notification_bell.php,56,"<button class=""notif-tab active"" onclick=""switchNotifTab('alerts')"">",source-indexed; NOT individually click-certified
admin/components/notification_bell.php,59,"<button class=""notif-tab"" onclick=""switchNotifTab('tasks')"">",source-indexed; NOT individually click-certified
admin/components/notification_bell.php,91,"<button onclick=""updateTask(<?= $task['id'] ?>",source-indexed; NOT individually click-certified
