file,category,bytes,lines,sha256,coverage,notes
.editorconfig,asset/configuration,593,27,a9a9882ffbe7f755b0cf2138e6261fb2d8c9a37d5d882a0ecf226733017156c0,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
.gitignore,asset/configuration,2030,76,405f7fb4f17397bb539324aa1af9c5dbc5b7ec110b16c26304bb7c4d08f88780,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
.htaccess,application-source,6130,142,f781a178e6258ecd808b4ec08db4887fde508b8727673dcf7303703cc6112a8b,Changed sections manually reviewed; syntax/static checks; targeted verification only,F07: Apache path-denial tests and independent CGI execution prove PHP guards work without .htaccess. No unsafe seeder request was sent to production. F08: Actual Apache probes; backup create/download/decrypt regression protects against blanket-directory blocking.
Mobile/HOW_TO_SHIP_AN_UPDATE.md,documentation,3073,103,e5c1c2f8ec4b90c855a88ae8afb302bcd4e185028bd5c502d4e0f8a9e34bfaa5,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/TEACHER_APP_WEAKNESS_REPORT.md,documentation,9770,207,4aea2b88078bdd77299bb4f498e44e70d4e03a85e69fbc8ae9f09bb6d37a51ea,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/code_dump.txt,asset/configuration,271251,7667,918fc1681933085b486817371f09d3aca42dcffe033223fe053b5b0a6d9d9a78,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/logo_felege_kidusan.png,asset/configuration,1017355,,b34bc65cf7056d0fe3ab0b08b3c712a84e97294efd4bc88d85c5a1f8241cf8a5,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/logo_felege_kidusan.webp,asset/configuration,1015672,,33b38ecab7021ba07a95c3ce1032f8e016f2a6c5edebec75fb034d08e7471b17,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/.gitignore,mobile-platform/assets,897,53,daca522b6aee19fb9f5b6f29124d73bd830343e0b58be4980b2dc88981bc6839,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/.metadata,mobile-platform/assets,1706,45,3474cf4b2d365a82cfe2a54451cc74927b48278d3d3e0e3ebf72be77d0a14b41,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/README.md,documentation,2323,52,e3183ef33644a2af275984ccd4ec6dac1053e2ab8cf4671d9469f182e69337eb,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/analysis_options.yaml,mobile-platform/assets,1546,37,403d2c563287e55f12ff36526c0eeebec0510f7bf1a7b18a44bb6fef89cf7661,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/.gitignore,mobile-platform/assets,247,13,b97dd21ea377acd068ce45903e6bd983dee58a3522bcea558e674821af080495,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/build.gradle,mobile-platform/assets,4046,96,9a45df4864ccf69a97ecc2ce8e47e5dcfd4d2a76a2ea4e6216c2b23eb9c12cb0,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/proguard-rules.pro,mobile-platform/assets,1547,42,f0af852c3b78587807cc165a0e522ae27b444bc6b2c9b2b9346c2faa3d809776,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/src/debug/AndroidManifest.xml,mobile-platform/assets,378,7,30b0832ed8b92dfbd6ae2abfa939ccf26333d37600056b1572bd4a397a18a74b,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/src/debug/res/xml/network_security_config.xml,mobile-platform/assets,503,14,961cb2eb7c93cee753de10fb61a1676f6699d71b20452812f092eaa7cd32a0c2,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/src/main/AndroidManifest.xml,mobile-platform/assets,5688,109,ab94dfb7716dfcf2ae2cd8157a317a98d8cd02cfacae7ecdd1d0e015eb3d7c4c,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/src/main/kotlin/com/arkeonethiopia/fkss/FkssApplication.kt,mobile-platform/assets,2527,66,b761c459d8fc2b44bba9466f08db43f86de3a31f80e399499b614cea94e02f7d,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/src/main/kotlin/com/arkeonethiopia/fkss/MainActivity.kt,mobile-platform/assets,5723,118,a015482738831f0426bdccd47547922a2ab27745d622163069f89fd92458ad3e,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/src/main/res/drawable-hdpi/android12splash.png,mobile-platform/assets,193862,,d8f8fb9f4d918c903b5fe8ddcd7f4c112bef75f085661baf2d655728a25cb34b,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/src/main/res/drawable-hdpi/ic_launcher_foreground.png,mobile-platform/assets,39115,,6c09fcc8f27884ac221174c921938506fa3995c96fa0e358b0d470dbf5b44d4b,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/src/main/res/drawable-hdpi/splash.png,mobile-platform/assets,193862,,d8f8fb9f4d918c903b5fe8ddcd7f4c112bef75f085661baf2d655728a25cb34b,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/src/main/res/drawable-mdpi/android12splash.png,mobile-platform/assets,94490,,cccf1632b92f380db1db8548f255ae6de104b7c2653d1dc11795b850c2f36342,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/src/main/res/drawable-mdpi/ic_launcher_foreground.png,mobile-platform/assets,18322,,5603c39aba7e309da8a671868e57eca524581befb0873c115e6e2102f6c58a37,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/src/main/res/drawable-mdpi/splash.png,mobile-platform/assets,94490,,cccf1632b92f380db1db8548f255ae6de104b7c2653d1dc11795b850c2f36342,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/src/main/res/drawable-night-hdpi/android12splash.png,mobile-platform/assets,193862,,d8f8fb9f4d918c903b5fe8ddcd7f4c112bef75f085661baf2d655728a25cb34b,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/src/main/res/drawable-night-mdpi/android12splash.png,mobile-platform/assets,94490,,cccf1632b92f380db1db8548f255ae6de104b7c2653d1dc11795b850c2f36342,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/src/main/res/drawable-night-xhdpi/android12splash.png,mobile-platform/assets,320753,,8897b8ae22ff4ad5565665eeed7b743efe496647e61f5ca4c43def50505671f9,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/src/main/res/drawable-night-xxhdpi/android12splash.png,mobile-platform/assets,627843,,c35dfe99895c588e69118f3b25d2ab1c80f0cbce3500a3bc015dee58f6f17296,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
Mobile/wbws_flutter_app/android/app/src/main/res/drawable-night-xxxhdpi/android12splash.png,mobile-platform/assets,1000657,,426674e4e6a1ffc5562d6493e2871727a1f1096c81b3c71e4b117cdcf6a49d1f,inventoried; automated checks where applicable,No individual manual sign-off; see audit limitations.
