file,line,function
admin/access_control.php,273,_ac_deny
admin/api_ai.php,22,aiGenerate
admin/api_ai.php,58,getGeminiApiKey
admin/api_ai.php,81,callGemini
admin/api_ai.php,113,aiPublicError
admin/api_ai.php,126,callGeminiModel
admin/api_ai.php,196,collectDataSnapshot
admin/api_ai.php,335,getSystemPrompt
admin/api_attendance.php,497,updateAttendanceSummary
admin/api_branding.php,58,brandQuery
admin/api_branding.php,77,brandResolveAssetFile
admin/api_check_duplicate.php,14,duplicateJson
admin/api_cms.php,43,out
admin/api_cms.php,46,f
admin/api_cms.php,52,saveImage
admin/api_cms.php,64,deleteImage
admin/api_cms.php,69,cmsInsertPhoto
admin/api_communication.php,434,getGradeLetter
admin/api_dept_takers.php,40,dept_taker_respond
admin/api_education.php,94,edu_scrub_phone
admin/api_finance.php,36,financeCategory
admin/api_finance.php,44,financeMember
admin/api_hr_attendance.php,43,hr_att_respond
admin/api_identity.php,44,validateCodeSegment
admin/api_import_members.php,22,import_json
admin/api_info_analytics.php,39,info_an_respond
admin/api_info_reports.php,30,info_rp_fail
admin/api_mezmur.php,67,mezmur_respond
admin/api_qr_roster.php,38,qr_roster_fail
admin/api_subjects.php,71,edu_require_assignment
admin/api_teachers.php,52,_teacherSafeColExists
admin/backend/academic_year.php,32,ay_ensure_schema
admin/backend/academic_year.php,39,ay_active_year
admin/backend/academic_year.php,60,ay_year_by_id
admin/backend/academic_year.php,81,ay_resolve
admin/backend/academic_year.php,119,ay_is_readonly
admin/backend/academic_year.php,129,ay_require_writable
admin/backend/academic_year.php,161,ay_block_if_readonly
admin/backend/academic_year.php,177,ay_can_manage_years
admin/backend/academic_year.php,188,ay_switch_active
admin/backend/academic_year.php,227,ay_year_list
admin/backend/academic_year.php,250,ay_banner_html
admin/backend/academic_year.php,270,ayReturnToCurrent
admin/backend/academic_year.php,294,ay_context_bar_html
admin/backend/academic_year.php,367,inject
admin/backend/ai_providers.php,29,ai_provider_registry
admin/backend/ai_providers.php,89,ai_enc_secret
admin/backend/ai_providers.php,95,ai_encrypt
admin/backend/ai_providers.php,103,ai_decrypt
